Code,Input,RD-,RD+,cRD-,cRD+
D.x.0,000,1011,0100,2,-2
D.x.1,001,1001,1001,0,0
D.x.2,010,0101,0101,0,0
D.x.3,011,1100,0011,0,0
D.x.4,100,1101,0010,2,-2
D.x.5,101,1010,1010,0,0
D.x.6,110,0110,0110,0,0
D.x.P7 †,111,1110,0001,2,-2
